FileFormat,CSV
Year,2019
Month,07
Day,14
Hour,13
Minute,24
Second,57
ST ID,Nan
Launch Site,Nan
Launch Latitude,Nan
Launch Longitude,Nan
Launch Altitude,Nan
Station P (hPa),Nan
Station T (deg C),Nan
Station RH (%),Nan
Station WD (deg),Nan
Station WS (m/s),Nan
Cloud fraction (1~10),Nan
rain (0/1),Nan
Fields,time,Pressure,Temperature,RH,Latitude,Longitude,Direction,Speed
Data,26,986.992031,34.91418351855344,56.77478150861799,121.44346000000002,24.99778,254.82,12.938888888888883
Data,27,985.872656,34.81127129266023,56.98515555998001,121.44353,24.99784,247.26,9.783333333333333
Data,28,985.2985150000001,34.70261816922401,57.28560531894671,121.44356,24.99792,247.26,2.825
Data,30,984.5803119999999,34.59251169068866,57.49073995851115,121.44355,24.99797,247.26,2.480555555555556
Data,31,983.828281,34.47304267462769,57.7935980992802,121.44351,24.99802,247.26,4.236111111111111
Data,31,983.564218,34.365775203501194,57.992528045602704,121.44352,24.99801,255.58,6.177777777777778
Data,32,982.976093,34.27643540264887,58.29277648013238,121.44355,24.99798,320.03,8.333333333333334
Data,34,982.418828,34.17703671165234,58.49551337585528,121.44364,24.99795,295.06,10.880555555555556
Data,34,981.802109,34.087519606893785,58.79607127852053,121.44374,24.99794,276.55,12.013888888888893
Data,35,981.278046,34.00828392355848,59.09522737594906,121.44383,24.99795,272.55,13.480555555555556
Data,36,980.763125,33.93880768445945,59.39414287234935,121.44393,24.99798,250.83,10.913888888888886
Data,37,980.15664,33.84825334352627,59.50029965821209,121.44399,24.99804,227.07,9.583333333333334
Data,38,979.712031,33.76896405562446,59.701174540661704,121.44403,24.99811,223.24,7.872222222222222
Data,40,978.791328,33.64844079354268,60.00604514994462,121.44406,24.99814,223.7,5.1805555555555545
Data,40,978.0122650000001,33.557357168310425,60.21168740493749,121.44409,24.99817,245.89,4.772222222222221
Data,42,976.973203,33.426392356795986,60.518274615173254,121.44414,24.9982,249.01,5.922222222222223
Data,43,976.265703,33.31690461169755,60.819981910231505,121.44419,24.99824,246.27,7.627777777777778
Data,44,975.506093,33.22649483274162,61.122335796380966,121.44426,24.99829,233.62,8.480555555555558
Data,44,974.85414,33.116802958211366,61.326151884610034,121.4443,24.99832,238.14,5.4833333333333325
Data,46,974.486718,33.057949750642585,61.62263338129386,121.44433,24.99835,248.65,4.041666666666667
Data,47,973.897031,33.00685645515068,61.82537162377804,121.44438,24.99834,269.66,5.283333333333333
Data,48,973.2125,32.95517078945903,62.029532647646704,121.44445,24.99835,257.98,8.76388888888889
Data,49,972.714843,32.88525093728045,62.2309339758905,121.44452,24.99838,252.37,10.569444444444443
Data,50,971.83375,32.821533248652386,62.244101068280564,121.44462,24.99842,249.39,12.35
Data,51,971.110312,32.730798544612064,62.44889410830773,121.44472,24.99845,252.52,11.880555555555556
Data,52,970.376718,32.66910545530421,62.65385401720485,121.44483,24.99848,256.03,11.438888888888883
Data,53,969.443593,32.596462049457834,62.86184782495701,121.4449,24.9985,261.34000000000003,7.6722222222222225
Data,54,968.588437,32.50435126751749,62.971659572281425,121.44495,24.99851,259.61,5.297222222222223
Data,55,967.987187,32.41382867039758,63.07761700074684,121.44499,24.99854,233.15,4.866666666666666
Data,55,967.2571869999999,32.361859043706694,63.28261265664185,121.44504,24.99858,229.1,7.061111111111113
Data,57,966.648437,32.262140085929666,63.4856333835768,121.44509,24.99865,217.36,8.094444444444445
Data,58,966.018906,32.20109772443002,63.689075477998784,121.44515,24.99871,220.12,9.058333333333334
Data,59,965.6711710000001,32.122414185074184,63.88809514586246,121.4452,24.99877,214.98,7.597222222222222
Data,60,964.803593,32.05018132984508,64.09517119472514,121.44522,24.99885,197.42,8.925
Data,61,964.273203,31.970355284954888,64.29697518336508,121.44523999999998,24.99892,203.13,8.76388888888889
Data,62,963.453281,31.898420379491714,64.50333498323279,121.44527,24.99899,189.53,7.4444444444444455
Data,63,962.993281,31.81848287941451,64.60705014085828,121.44527,24.99905,192.29,7.352777777777778
Data,64,962.464531,31.738667090733237,64.80877859844195,121.44529,24.99912,184.34,6.6111111111111125
Data,65,961.961406,31.648207341730977,64.8161366326146,121.44529,24.99919,189.08,8.1
Data,66,961.260468,31.557613067441768,65.02047660406667,121.44531,24.99926,190.11,8.744444444444444
Data,67,960.873125,31.480335519561425,65.51063608584471,121.44535,24.99934,204.74,9.147222222222222
Data,68,959.852421,31.39799496682396,65.81701178480114,121.4454,24.99942,214.48,10.702777777777778
Data,69,959.170937,31.3371792914535,66.11814044342607,121.44546,24.9995,219.52,10.305555555555557
Data,70,958.541718,31.265885482475422,66.22454118024802,121.44551,24.99954,234.58,7.852777777777778
Data,71,957.843281,31.19471060878378,66.42895920677829,121.44559,24.99959,239.07,9.15
Data,72,957.1817179999999,31.143168741134037,66.63300055588739,121.44564,24.99962,237.37,5.9527777777777775
Data,73,956.3167960000001,31.089252475477362,66.64657518430727,121.44568,24.99964,239.36,5.816666666666667
Data,74,955.4703119999999,31.016047897439737,66.65961143909904,121.4457,24.99966,217.51,3.4527777777777766
Data,74,954.756718,30.973330951069194,66.76775607888901,121.44572,24.9997,208.54,4.263888888888888
Data,76,953.766484,30.910031384443027,66.97718799069146,121.44573,24.99973,203.15,5.4944444444444445
Data,77,952.880937,30.81773078542316,67.08758557403756,121.44575,24.99977,221.13,6.075
Data,78,952.373906,30.758556534329895,67.48300371286867,121.44581,24.99982,227.96,6.666666666666666
Data,79,951.960468,30.727419643457747,67.586403266782,121.4459,24.99987,236.59,10.255555555555556
Data,80,951.3174210000001,30.67544374050488,67.6933514064705,121.44599,24.99993,234.01,11.683333333333335
Data,81,950.673046,30.613757491530148,67.80018297484062,121.44607,24.99998,236.24,10.386111111111113
Data,82,950.167968,30.592300520861823,68.00226906366132,121.44616,25.00004,232.15,10.758333333333333
Data,83,949.520625,30.54944836485238,68.01251079967588,121.44624,25.00011,223.4,10.630555555555556
Data,84,948.67039,30.49672689515049,68.21999966259902,121.44628,25.00016,208.67,8.019444444444442
Data,85,947.9546869999999,30.463699182423266,68.3285962328521,121.44632,25.00022,199.25,6.322222222222222
Data,85,947.44375,30.431400372867497,68.33673050952588,121.44634,25.00027,199.83,4.722222222222221
Data,87,947.115625,30.381391793924962,68.43844102971343,121.44635,25.00029,202.13,3.2416666666666667
Data,88,946.368125,30.320160746656136,68.74113279090973,121.44635,25.0003,214.61,3.1527777777777777
Data,89,945.662187,30.26723804936602,68.75226299684357,121.44636,25.00031,214.61,2.05
Data,90,944.885468,30.225227580736924,69.05590480772858,121.44639,25.0003,214.61,1.6222222222222222
Data,91,944.109687,30.153016661925374,69.16490538063246,121.44645,25.00031,253.17,5.988888888888887
Data,92,943.346953,30.09114035311206,69.37093288746688,121.44651,25.00033,254.23,5.716666666666666
Data,93,942.75539,30.02008164441316,69.47675281885408,121.44658,25.00034,260.49,7.502777777777778
Data,94,942.182578,29.969095027119824,69.67970999666079,121.44666,25.00036,260.19,9.238888888888887
Data,95,941.445468,29.88797586769838,69.88487389762744,121.44675,25.00037,262.98,8.511111111111111
Data,96,940.871718,29.827281494004325,70.0876230472794,121.44683,25.00038,265.52,8.794444444444443
Data,97,940.2060150000001,29.78541538451607,70.29246170925916,121.44691,25.00039,265.67,6.583333333333332
Data,98,939.554921,29.704833849213657,70.49609793368087,121.44698,25.0004,250.76,6.549999999999999
Data,98,938.864921,29.643413247319774,70.70090148165423,121.44705,25.00045,237.79,8.758333333333333
Data,100,938.198593,29.56273683414375,70.90477886256708,121.4471,25.00049,229.95,8.527777777777779
Data,101,937.836718,29.512518787547947,71.00695690758569,121.44717,25.00054,232.22,7.2
Data,102,937.235468,29.46190592451057,71.3074440219381,121.44722,25.0006,226.59,8.755555555555555
Data,103,936.568125,29.40062746658308,71.51184077066044,121.44732,25.00065,242.31,11.558333333333335
Data,104,936.346484,29.351837609709893,71.7084454288075,121.44741,25.00069,243.71,9.986111111111112
